840.188,394.383
783.099,798.44
911.647,197.551
335.223,768.23
277.775,553.97
477.397,628.871
364.784,513.401
952.23,916.195
635.712,717.297
141.603,606.969
16.3006,242.887
137.232,804.177
156.679,400.944
129.79,108.809
998.925,218.257
512.932,839.112
612.64,296.032
637.552,524.287
493.583,972.775
292.517,771.358
526.745,769.914
400.229,891.529
283.315,352.458
807.725,919.026
69.7553,949.327
525.995,86.0558
192.214,663.227
890.233,348.893
64.1713,20.023
457.702,63.0958
238.28,970.634
902.208,850.92
266.666,539.76
375.207,760.249
512.535,667.724
531.606,39.2803
437.638,931.835
930.81,720.952
284.293,738.534
639.979,354.049
687.861,165.974
440.105,880.075
829.201,330.337
228.968,893.372
350.36,686.67
956.468,588.64
657.304,858.676
439.56,923.97
398.437,814.767
684.219,910.972
482.491,215.825
950.252,920.128
147.66,881.062
641.081,431.953
619.596,281.059
786.002,307.458
447.034,226.107
187.533,276.235
556.444,416.501
169.607,906.804
103.171,126.075
495.444,760.475
984.752,935.004
684.445,383.188
749.771,368.664
294.16,232.262
584.489,244.413
152.39,732.149
125.475,793.47
164.102,745.071
74.5298,950.104
52.5293,521.563
176.211,240.062
797.798,732.654
656.564,967.405
639.458,759.735
93.4805,134.902
520.21,78.2321
69.9064,204.655
461.42,819.677
573.319,755.581
51.9388,157.807
999.994,204.329
889.956,125.468
997.799,54.0576
870.54,72.3288
4.16161,923.069
593.892,180.372
163.131,391.69
913.027,819.695
359.095,552.485
579.43,452.576
687.387,99.6401
530.808,757.294
304.295,992.228
576.971,877.614
747.809,628.91
35.4209,747.803
833.239,925.377
873.271,831.038
979.434,743.811
903.366,983.596
666.88,497.259
163.968,830.012
888.949,76.9947
649.707,248.044
629.48,229.137
700.62,316.867
328.777,231.428
74.161,633.072
223.656,651.132
510.686,971.466
280.042,546.107
719.269,113.281
471.483,592.54
944.318,450.918
336.351,847.684
434.513,3.23146
344.943,598.481
833.243,233.892
675.476,482.95
481.936,304.956
712.087,182.556
621.823,40.8643
413.984,695.984
673.936,637.64
347.116,184.622
